waypoint1	waypoint2	distance_m	duration_s
Toltec Mounds, Scott, AR	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2170137	72166
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Pikes Peak, Colorado	3116143	105217
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4838824	157041
Toltec Mounds, Scott, AR	Pikes Peak, Colorado	1600391	54165
Toltec Mounds, Scott, AR	Grand Canyon National Park, Arizona	2065221	66027
Pikes Peak, Colorado	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2110261	73221
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Grand Canyon National Park, Arizona	1260224	41991
USS Alabama, Battleship Parkway, Mobile, AL	San Andreas Fault, San Benito County, CA	3676538	117502
San Andreas Fault, San Benito County, CA	Grand Canyon National Park, Arizona	1085406	37481
Toltec Mounds, Scott, AR	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3182257	102703
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	San Andreas Fault, San Benito County, CA	4958094	161966
Toltec Mounds, Scott, AR	San Andreas Fault, San Benito County, CA	3007438	98193
San Andreas Fault, San Benito County, CA	Pikes Peak, Colorado	2028103	71021
San Andreas Fault, San Benito County, CA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	214049	10274
USS Alabama, Battleship Parkway, Mobile, AL	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3851357	122012
USS Alabama, Battleship Parkway, Mobile, AL	Toltec Mounds, Scott, AR	703118	26571
USS Alabama, Battleship Parkway, Mobile, AL	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2115590	70040
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Grand Canyon National Park, Arizona	4037427	131678
USS Alabama, Battleship Parkway, Mobile, AL	Pikes Peak, Colorado	2162041	74975
USS Alabama, Battleship Parkway, Mobile, AL	Grand Canyon National Park, Arizona	2619863	86569
Pikes Peak, Colorado	Grand Canyon National Park, Arizona	974064	38864